name,value,element,season,code,gw
Callum Wilson,59,48,2017-18,75115,26
Cenk Tosun,72,592,2017-18,66838,26
Chris Wood,62,518,2017-18,60689,26
Dominic Calvert-Lewin,52,159,2017-18,177815,26
Emerson Palmieri dos Santos,55,614,2017-18,109533,26
Francisco Femenía Far,43,407,2017-18,54484,26
Fraser Forster,47,306,2017-18,40383,26
Heung-Min Son,81,390,2017-18,85971,26
Jamie Vardy,86,209,2017-18,101668,26
Jay Rodriguez,56,437,2017-18,44683,26
Jonjoe Kenny,44,145,2017-18,153673,26
Jordan Ayew,53,373,2017-18,80146,26
Jordan Hugill,55,622,2017-18,167522,26
Kevin De Bruyne,103,252,2017-18,61366,26
Konstantinos Mavropanos,44,595,2017-18,233963,26
Lucas Rodrigues Moura da Silva,80,617,2017-18,95715,26
Manuel Lanzini,67,453,2017-18,86934,26
Marcos Alonso,74,100,2017-18,82263,26
Martin Dubravka,45,621,2017-18,67089,26
Mathias Jorgensen,45,171,2017-18,48760,26
Matthew Lowton,43,76,2017-18,68983,26
Nathan Aké,50,38,2017-18,126184,26
Pierre-Emerick Aubameyang,105,616,2017-18,54694,26
Raheem Sterling,90,247,2017-18,103955,26
Richarlison de Andrade,62,501,2017-18,212319,26
Terence Kongolo,44,591,2017-18,109434,26
Theo Walcott,72,15,2017-18,20467,26
Xherdan Shaqiri,61,342,2017-18,68312,26
Aaron Mooy,53,172,2017-18,74471,27
Aaron Ramsey,70,18,2017-18,41792,27
Abdoulaye Doucouré,54,414,2017-18,121599,27
Alexandre Lacazette,102,28,2017-18,59966,27
Alfie Mawson,51,357,2017-18,149266,27
Andreas Christensen,53,470,2017-18,135363,27
Andy Carroll,57,457,2017-18,40142,27
Arthur Masuaku,43,446,2017-18,105717,27
Callum Wilson,60,48,2017-18,75115,27
Cenk Tosun,70,592,2017-18,66838,27
Chris Smalling,54,263,2017-18,55909,27
Federico Fernández,45,354,2017-18,57145,27
Harry Kane,128,394,2017-18,78830,27
Jack Wilshere,53,24,2017-18,54102,27
James Tarkowski,46,79,2017-18,17761,27
James Ward-Prowse,51,317,2017-18,101178,27
Jay Rodriguez,55,437,2017-18,44683,27
Jesse Lingard,62,279,2017-18,109322,27
Jordan Ayew,54,373,2017-18,80146,27
Luka Milivojevic,48,132,2017-18,66975,27
Marcos Alonso,73,100,2017-18,82263,27
Marcus Rashford,74,284,2017-18,176297,27
Mason Holgate,42,144,2017-18,194164,27
Mohamed Salah,104,234,2017-18,118748,27
Moussa Sissoko,53,393,2017-18,45268,27
Nick Pope,49,469,2017-18,98747,27
Reiss Nelson,47,489,2017-18,200641,27
Riyad Mahrez,86,199,2017-18,103025,27
Tammy Abraham,54,374,2017-18,173879,27
Theo Walcott,73,15,2017-18,20467,27
Alex Oxlade-Chamberlain,56,19,2017-18,81880,28
Andrew Robertson,48,475,2017-18,122798,28
Angelo Ogbonna,44,444,2017-18,40669,28
Anthony Martial,80,280,2017-18,148225,28
Ashley Young,49,277,2017-18,18892,28
Ben Davies,57,381,2017-18,115556,28
Cenk Tosun,68,592,2017-18,66838,28
Christian Eriksen,93,387,2017-18,80607,28
Christian Kabasele,45,403,2017-18,85624,28
Dominic Calvert-Lewin,51,159,2017-18,177815,28
Héctor Bellerín,60,7,2017-18,98745,28
Jairo Riedewald,46,482,2017-18,173954,28
Jamaal Lascelles,47,290,2017-18,101148,28
James Tarkowski,45,79,2017-18,17761,28
Jamie Vardy,87,209,2017-18,101668,28
Javier Manquillo,43,477,2017-18,109528,28
Jesse Lingard,61,279,2017-18,109322,28
Joel Robles,42,136,2017-18,78315,28
Johann Berg Gudmundsson,51,84,2017-18,60586,28
Jonjoe Kenny,43,145,2017-18,153673,28
Jordan Hugill,54,622,2017-18,167522,28
Kevin De Bruyne,104,252,2017-18,61366,28
Kieran Trippier,53,382,2017-18,77794,28
Konstantinos Mavropanos,43,595,2017-18,233963,28
Luka Milivojevic,49,132,2017-18,66975,28
Manuel Lanzini,66,453,2017-18,86934,28
Marcos Alonso,72,100,2017-18,82263,28
Mohamed Salah,105,234,2017-18,118748,28
Nemanja Matic,47,107,2017-18,62398,28
Nicolás Otamendi,64,245,2017-18,57410,28
Pascal Groß,59,70,2017-18,60307,28
Paul Pogba,79,282,2017-18,74208,28
Phil Jones,56,264,2017-18,76359,28
Raheem Sterling,89,247,2017-18,103955,28
Richarlison de Andrade,61,501,2017-18,212319,28
Rob Holding,44,11,2017-18,156074,28
Roberto Firmino,93,235,2017-18,92217,28
Romelu Lukaku,112,285,2017-18,66749,28
Ruben Loftus-Cheek,44,108,2017-18,126187,28
Sead Kolasinac,58,13,2017-18,111457,28
Sergio Agüero,120,257,2017-18,37572,28
Shkodran Mustafi,54,12,2017-18,69140,28
Solomon March,48,66,2017-18,109345,28
Steve Cook,46,33,2017-18,56917,28
Trent Alexander-Arnold,43,223,2017-18,169187,28
Virgil van Dijk,56,311,2017-18,97032,28
Wilfried Zaha,68,126,2017-18,82403,28
Xherdan Shaqiri,62,342,2017-18,68312,28
Aaron Ramsey,69,18,2017-18,41792,29
Abdoulaye Doucouré,55,414,2017-18,121599,29
Andrew Robertson,49,475,2017-18,122798,29
Aymeric Laporte,54,612,2017-18,146941,29
Ben Davies,58,381,2017-18,115556,29
Cenk Tosun,67,592,2017-18,66838,29
Dominic Solanke,46,239,2017-18,154566,29
Emerson Palmieri dos Santos,54,614,2017-18,109533,29
Glenn Murray,58,71,2017-18,20529,29
Harry Kane,129,394,2017-18,78830,29
Heung-Min Son,80,390,2017-18,85971,29
Jay Rodriguez,54,437,2017-18,44683,29
Joe Hart,42,479,2017-18,15749,29
Jordan Hugill,53,622,2017-18,167522,29
Lukasz Fabianski,47,350,2017-18,37096,29
Mason Holgate,41,144,2017-18,194164,29
Nikola Vlasic,53,539,2017-18,180151,29
Pierre-Emerick Aubameyang,104,616,2017-18,54694,29
Raheem Sterling,88,247,2017-18,103955,29
Riyad Mahrez,87,199,2017-18,103025,29
Roberto Firmino,94,235,2017-18,92217,29
Sadio Mané,94,230,2017-18,110979,29
Theo Walcott,72,15,2017-18,20467,29
Trevoh Chalobah,40,632,2017-18,180736,29
Willian Borges Da Silva,69,106,2017-18,47431,29
Xherdan Shaqiri,63,342,2017-18,68312,29
Angelo Ogbonna,43,444,2017-18,40669,30
Anthony Martial,79,280,2017-18,148225,30
Arthur Masuaku,42,446,2017-18,105717,30
Ben Davies,59,381,2017-18,115556,30
Bernardo Mota Veiga de Carvalho e Silva,75,256,2017-18,165809,30
Callum Wilson,59,48,2017-18,75115,30
Christian Eriksen,94,387,2017-18,80607,30
Christian Kabasele,44,403,2017-18,85624,30
César Azpilicueta,69,97,2017-18,41328,30
Dominic Calvert-Lewin,50,159,2017-18,177815,30
Emerson Palmieri dos Santos,53,614,2017-18,109533,30
Fernando Luiz Rosa,50,250,2017-18,27789,30
Glenn Murray,59,71,2017-18,20529,30
Harry Maguire,56,198,2017-18,95658,30
Heung-Min Son,81,390,2017-18,85971,30
Jack Wilshere,52,24,2017-18,54102,30
John Stones,53,242,2017-18,97299,30
Jonjoe Kenny,42,145,2017-18,153673,30
Jordan Hugill,52,622,2017-18,167522,30
Joseph Gomez,46,218,2017-18,171287,30
Joseph Willock,45,634,2017-18,200089,30
Mamadou Sakho,46,221,2017-18,40784,30
Marcus Rashford,73,284,2017-18,176297,30
Matthew Lowton,44,76,2017-18,68983,30
Mohamed Salah,106,234,2017-18,118748,30
Phil Jones,55,264,2017-18,76359,30
Raheem Sterling,87,247,2017-18,103955,30
Richarlison de Andrade,60,501,2017-18,212319,30
Riyad Mahrez,88,199,2017-18,103025,30
Robert Elliot,40,286,2017-18,19838,30
Sam Field,44,433,2017-18,195864,30
Sergio Agüero,119,257,2017-18,37572,30
Willian Borges Da Silva,70,106,2017-18,47431,30
Andrew Robertson,50,475,2017-18,122798,31
Callum Wilson,60,48,2017-18,75115,31
Cenk Tosun,68,592,2017-18,66838,31
Jay Rodriguez,53,437,2017-18,44683,31
Junior Stanislas,60,42,2017-18,56872,31
Nathan Aké,51,38,2017-18,126184,31
Roberto Firmino,96,235,2017-18,92217,31
Sadio Mané,95,230,2017-18,110979,31
Theo Walcott,71,15,2017-18,20467,31
Virgil van Dijk,57,311,2017-18,97032,31
Xherdan Shaqiri,64,342,2017-18,68312,31
Aaron Cresswell,50,443,2017-18,55459,32
Adrián San Miguel del Castillo,43,438,2017-18,60706,32
Antonio Rüdiger,58,103,2017-18,102380,32
Ashley Barnes,53,93,2017-18,44699,32
Aymeric Laporte,53,612,2017-18,146941,32
Bernardo Mota Veiga de Carvalho e Silva,74,256,2017-18,165809,32
Callum Wilson,59,48,2017-18,75115,32
Charlie Austin,58,326,2017-18,78356,32
Chris Smalling,55,263,2017-18,55909,32
Emerson Palmieri dos Santos,52,614,2017-18,109533,32
Fraser Forster,46,306,2017-18,40383,32
Gabriel Fernando de Jesus,100,259,2017-18,205651,32
Glenn Murray,60,71,2017-18,20529,32
Grady Diangana,45,636,2017-18,179830,32
Harry Kane,127,394,2017-18,78830,32
Heung-Min Son,83,390,2017-18,85971,32
Héctor Bellerín,59,7,2017-18,98745,32
Jack Cork,45,90,2017-18,40145,32
Jack Wilshere,51,24,2017-18,54102,32
Jamaal Lascelles,48,290,2017-18,101148,32
Jamie Vardy,88,209,2017-18,101668,32
Jesse Lingard,60,279,2017-18,109322,32
Jonjoe Kenny,41,145,2017-18,153673,32
Jordan Ayew,53,373,2017-18,80146,32
Jordan Hugill,51,622,2017-18,167522,32
Joseph Gomez,45,218,2017-18,171287,32
Kevin Long,40,80,2017-18,41674,32
Kieran Trippier,52,382,2017-18,77794,32
Lucas Rodrigues Moura da Silva,79,617,2017-18,95715,32
Marcus Rashford,74,284,2017-18,176297,32
Mathew Ryan,46,54,2017-18,131897,32
Mohamed Salah,107,234,2017-18,118748,32
Pascal Groß,60,70,2017-18,60307,32
Paul Pogba,78,282,2017-18,74208,32
Pierre-Emerick Aubameyang,107,616,2017-18,54694,32
Raheem Sterling,86,247,2017-18,103955,32
Riyad Mahrez,89,199,2017-18,103025,32
Robert Kenedy Nunes do Nascimento,48,110,2017-18,167767,32
Roberto Firmino,97,235,2017-18,92217,32
Romelu Lukaku,115,285,2017-18,66749,32
Sergio Agüero,117,257,2017-18,37572,32
Theo Walcott,70,15,2017-18,20467,32
Tyrone Mings,42,36,2017-18,149484,32
Willian Borges Da Silva,71,106,2017-18,47431,32
Xherdan Shaqiri,63,342,2017-18,68312,32
Abdoulaye Doucouré,54,414,2017-18,121599,33
Adrián San Miguel del Castillo,42,438,2017-18,60706,33
Andrew Robertson,51,475,2017-18,122798,33
Angelo Ogbonna,42,444,2017-18,40669,33
Ashley Barnes,54,93,2017-18,44699,33
Ashley Young,48,277,2017-18,18892,33
Aymeric Laporte,52,612,2017-18,146941,33
Ben Johnson,44,573,2017-18,222018,33
Benjamin Chilwell,44,196,2017-18,172850,33
Bernardo Mota Veiga de Carvalho e Silva,73,256,2017-18,165809,33
Callum Wilson,58,48,2017-18,75115,33
Cenk Tosun,69,592,2017-18,66838,33
Chris Wood,63,518,2017-18,60689,33
Curtis Jones,45,640,2017-18,206915,33
Harry Kane,128,394,2017-18,78830,33
Heung-Min Son,84,390,2017-18,85971,33
James Ward-Prowse,50,317,2017-18,101178,33
Jamie Vardy,89,209,2017-18,101668,33
Junior Stanislas,59,42,2017-18,56872,33
Lucas Rodrigues Moura da Silva,78,617,2017-18,95715,33
Luka Milivojevic,50,132,2017-18,66975,33
Mohamed Salah,106,234,2017-18,118748,33
Nick Pope,50,469,2017-18,98747,33
Oriol Romeu Vidal,42,320,2017-18,78056,33
Phil Bardsley,42,334,2017-18,17997,33
Pierre-Emerick Aubameyang,108,616,2017-18,54694,33
Raheem Sterling,87,247,2017-18,103955,33
Riyad Mahrez,90,199,2017-18,103025,33
Roberto Firmino,96,235,2017-18,92217,33
Romelu Lukaku,116,285,2017-18,66749,33
Sergio Agüero,116,257,2017-18,37572,33
Shkodran Mustafi,55,12,2017-18,69140,33
Theo Walcott,69,15,2017-18,20467,33
Willian Borges Da Silva,72,106,2017-18,47431,33
Aaron Mooy,52,172,2017-18,74471,34
Adrián San Miguel del Castillo,41,438,2017-18,60706,34
Anthony Martial,78,280,2017-18,148225,34
Aymeric Laporte,51,612,2017-18,146941,34
Bamidele Alli,90,388,2017-18,108823,34
Ben Foster,43,421,2017-18,9089,34
Bernardo Mota Veiga de Carvalho e Silva,72,256,2017-18,165809,34
Cenk Tosun,68,592,2017-18,66838,34
Christian Benteke,75,134,2017-18,54861,34
Ciaran Clark,43,289,2017-18,58845,34
Claudio Bravo,45,241,2017-18,33148,34
Harry Kane,129,394,2017-18,78830,34
Harvey Barnes,45,642,2017-18,201666,34
James Tarkowski,46,79,2017-18,17761,34
James Tomkins,43,117,2017-18,49413,34
Jamie Vardy,90,209,2017-18,101668,34
Johann Berg Gudmundsson,50,84,2017-18,60586,34
Jonjoe Kenny,40,145,2017-18,153673,34
Jordan Hugill,50,622,2017-18,167522,34
Junior Stanislas,58,42,2017-18,56872,34
Karl Darlow,43,287,2017-18,59735,34
Kasper Schmeichel,51,189,2017-18,17745,34
Kevin De Bruyne,103,252,2017-18,61366,34
Loris Karius,49,214,2017-18,104542,34
Luka Milivojevic,51,132,2017-18,66975,34
Luke Shaw,48,265,2017-18,106760,34
Mason Holgate,40,144,2017-18,194164,34
Mohamed Salah,105,234,2017-18,118748,34
Nicolás Otamendi,63,245,2017-18,57410,34
Pierre-Emerick Aubameyang,107,616,2017-18,54694,34
Richarlison de Andrade,59,501,2017-18,212319,34
Roberto Firmino,95,235,2017-18,92217,34
Theo Walcott,68,15,2017-18,20467,34
Xherdan Shaqiri,62,342,2017-18,68312,34
Aaron Cresswell,49,443,2017-18,55459,35
Aaron Ramsey,68,18,2017-18,41792,35
Abdoulaye Doucouré,53,414,2017-18,121599,35
Ayoze Pérez,53,302,2017-18,168580,35
Gabriel Fernando de Jesus,102,259,2017-18,205651,35
Granit Xhaka,51,23,2017-18,84450,35
Ilkay Gündogan,54,253,2017-18,59859,35
Javier Manquillo,42,477,2017-18,109528,35
Luka Milivojevic,52,132,2017-18,66975,35
Mohamed Salah,106,234,2017-18,118748,35
Pierre-Emerick Aubameyang,108,616,2017-18,54694,35
Raheem Sterling,89,247,2017-18,103955,35
Trent Alexander-Arnold,44,223,2017-18,169187,35
Wayne Hennessey,44,115,2017-18,20066,35
Wilfried Zaha,69,126,2017-18,82403,35
Ashley Barnes,55,93,2017-18,44699,36
Ayoze Pérez,54,302,2017-18,168580,36
Ben Davies,58,381,2017-18,115556,36
Callum Wilson,57,48,2017-18,75115,36
Chris Smalling,56,263,2017-18,55909,36
Chris Wood,64,518,2017-18,60689,36
Christian Eriksen,96,387,2017-18,80607,36
DeAndre Yedlin,45,288,2017-18,151119,36
Ederson Santana de Moraes,57,240,2017-18,121160,36
Gabriel Fernando de Jesus,103,259,2017-18,205651,36
Harry Kane,130,394,2017-18,78830,36
Heung-Min Son,83,390,2017-18,85971,36
Jack Wilshere,50,24,2017-18,54102,36
Jamaal Lascelles,49,290,2017-18,101148,36
James Ward-Prowse,49,317,2017-18,101178,36
Jamie Vardy,89,209,2017-18,101668,36
Jordan Hugill,49,622,2017-18,167522,36
Junior Stanislas,57,42,2017-18,56872,36
Kevin Long,41,80,2017-18,41674,36
Konstantinos Mavropanos,42,595,2017-18,233963,36
Lucas Rodrigues Moura da Silva,77,617,2017-18,95715,36
Luka Milivojevic,53,132,2017-18,66975,36
Marc Albrighton,55,200,2017-18,51938,36
Marcos Alonso,71,100,2017-18,82263,36
Nathan Aké,50,38,2017-18,126184,36
Nicolás Otamendi,64,245,2017-18,57410,36
Paul Pogba,79,282,2017-18,74208,36
Phil Bardsley,41,334,2017-18,17997,36
Pierre-Emerick Aubameyang,107,616,2017-18,54694,36
Raheem Sterling,90,247,2017-18,103955,36
Riyad Mahrez,88,199,2017-18,103025,36
Roberto Firmino,96,235,2017-18,92217,36
Romelu Lukaku,115,285,2017-18,66749,36
Sergio Agüero,115,257,2017-18,37572,36
Willian Borges Da Silva,71,106,2017-18,47431,36
Abdoulaye Doucouré,52,414,2017-18,121599,37
Adrián San Miguel del Castillo,40,438,2017-18,60706,37
Alexandre Lacazette,103,28,2017-18,59966,37
Ashley Barnes,54,93,2017-18,44699,37
Callum Wilson,56,48,2017-18,75115,37
Chris Smalling,57,263,2017-18,55909,37
Chris Wood,63,518,2017-18,60689,37
Christian Fuchs,47,192,2017-18,37402,37
Gabriel Fernando de Jesus,104,259,2017-18,205651,37
Harry Kane,131,394,2017-18,78830,37
Isaac Hayden,43,496,2017-18,153127,37
James Tomkins,44,117,2017-18,49413,37
Marcus Rashford,73,284,2017-18,176297,37
Mohamed Salah,105,234,2017-18,118748,37
Olivier Giroud,83,25,2017-18,44346,37
Pascal Groß,59,70,2017-18,60307,37
Raheem Sterling,91,247,2017-18,103955,37
Roberto Firmino,95,235,2017-18,92217,37
Sadio Mané,94,230,2017-18,110979,37
Theo Walcott,67,15,2017-18,20467,37
Tim Krul,39,540,2017-18,20480,37
Wilfried Zaha,70,126,2017-18,82403,37
Alex Oxlade-Chamberlain,55,19,2017-18,81880,38
Andrew Robertson,50,475,2017-18,122798,38
Ashley Barnes,53,93,2017-18,44699,38
Ayoze Pérez,55,302,2017-18,168580,38
Cenk Tosun,67,592,2017-18,66838,38
Chris Wood,62,518,2017-18,60689,38
Christian Eriksen,97,387,2017-18,80607,38
Dominic Calvert-Lewin,49,159,2017-18,177815,38
Dwight McNeil,45,646,2017-18,433154,38
Glenn Murray,59,71,2017-18,20529,38
Harry Maguire,55,198,2017-18,95658,38
Hugo Lloris,55,375,2017-18,37915,38
James McArthur,44,127,2017-18,50471,38
Jamie Vardy,88,209,2017-18,101668,38
Jay Rodriguez,54,437,2017-18,44683,38
Jonjoe Kenny,39,145,2017-18,153673,38
Jordan Ayew,54,373,2017-18,80146,38
Luka Milivojevic,52,132,2017-18,66975,38
Martin Kelly,41,120,2017-18,58786,38
Mohamed Salah,106,234,2017-18,118748,38
Olivier Giroud,84,25,2017-18,44346,38
Patrick van Aanholt,52,124,2017-18,74230,38
Phil Bardsley,40,334,2017-18,17997,38
Pierre-Emerick Aubameyang,108,616,2017-18,54694,38
Richarlison de Andrade,58,501,2017-18,212319,38
Riyad Mahrez,87,199,2017-18,103025,38
Shkodran Mustafi,54,12,2017-18,69140,38
Theo Walcott,66,15,2017-18,20467,38
Wilfried Zaha,71,126,2017-18,82403,38
Willian Borges Da Silva,70,106,2017-18,47431,38
Xherdan Shaqiri,61,342,2017-18,68312,38
Aaron Connolly,55,78,2020-21,233425,1
Aaron Cresswell,50,435,2020-21,55459,1
Aaron Mooy,50,60,2020-21,74471,1
Aaron Ramsdale,50,483,2020-21,225321,1
Abdoulaye Doucouré,55,512,2020-21,121599,1
Aboubakar Kamara,50,190,2020-21,197030,1
Adam Forshaw,50,199,2020-21,80179,1
Adam Lallana,65,54,2020-21,39155,1
Adam Webster,45,66,2020-21,110735,1
Adama Traoré,65,465,2020-21,159533,1
Adrien Silva,45,220,2020-21,46483,1
Adrián San Miguel del Castillo,45,245,2020-21,60706,1
Ahmed El-Sayed Hegazy,45,414,2020-21,77777,1
Ainsley Maitland-Niles,50,15,2020-21,154043,1
Albian Ajeti,55,447,2020-21,181008,1
Aleksandar Mitrović,60,184,2020-21,128389,1
Alex Iwobi,60,159,2020-21,153133,1
Alex McCarthy,45,363,2020-21,58376,1
Alex Oxlade-Chamberlain,65,248,2020-21,81880,1
Alexandre Lacazette,85,6,2020-21,59966,1
Alexis Mac Allister,55,80,2020-21,243016,1
Alfie Mawson,45,185,2020-21,149266,1
Alireza Jahanbakhsh,55,71,2020-21,165210,1
Alisson Ramses Becker,60,252,2020-21,116535,1
Allan Marques Loureiro,55,502,2020-21,119765,1
Allan Saint-Maximin,55,338,2020-21,170137,1
Alphonse Areola,45,516,2020-21,84182,1
Andreas Christensen,50,116,2020-21,135363,1
Andrew Robertson,70,255,2020-21,122798,1
Andriy Yarmolenko,60,436,2020-21,56377,1
Andros Townsend,60,137,2020-21,60252,1
André Filipe Tavares Gomes,55,158,2020-21,120250,1
André-Frank Zambo Anguissa,45,191,2020-21,203325,1
Andy Carroll,55,320,2020-21,40142,1
Angelo Ogbonna,50,432,2020-21,40669,1
Angus Gunn,45,371,2020-21,107265,1
Anthony Gordon,45,168,2020-21,232826,1
Anthony Knockaert,55,177,2020-21,83543,1
Antonee Robinson,45,484,2020-21,169528,1
Antonio Rüdiger,50,109,2020-21,102380,1
Arthur Masuaku,45,442,2020-21,105717,1
Ayoze Pérez,65,229,2020-21,168580,1
Bamidele Alli,80,394,2020-21,108823,1
Barry Douglas,40,196,2020-21,57913,1
Ben Davies,50,395,2020-21,115556,1
Ben Johnson,40,452,2020-21,222018,1
Ben Osborn,50,356,2020-21,167878,1
Ben White,45,74,2020-21,198869,1
Benjamin Chilwell,55,232,2020-21,172850,1
Bernard Anício Caldeira Duarte,60,154,2020-21,100649,1
Bernardo Fernandes da Silva Junior,40,75,2020-21,209362,1
Bernd Leno,50,8,2020-21,80201,1
Billy Gilmour,45,124,2020-21,243568,1
Billy Sharp,60,343,2020-21,18867,1
Bobby Decordova-Reid,55,181,2020-21,96994,1
Brandon Pierrick,45,147,2020-21,466955,1
Bruno André Cavaco Jordao,45,475,2020-21,428610,1
Bukayo Saka,55,24,2020-21,223340,1
Callum Hudson-Odoi,60,122,2020-21,209046,1
Callum Robinson,55,358,2020-21,171975,1
Callum Wilson,65,506,2020-21,75115,1
Calum Chambers,45,13,2020-21,101184,1
Cameron Carter-Vickers,40,521,2020-21,168763,1
Cedric Kipre,45,499,2020-21,183015,1
Cenk Tosun,60,153,2020-21,66838,1
Charlie Austin,55,415,2020-21,78356,1
Che Adams,60,377,2020-21,200439,1
Cheikhou Kouyaté,50,133,2020-21,55037,1
Chris Basham,50,345,2020-21,40386,1
Christian Atsu,55,330,2020-21,104953,1
Christian Benteke,55,132,2020-21,54861,1
Christian Fuchs,45,218,2020-21,37402,1
Christian Pulisic,85,119,2020-21,176413,1
Christian Walton,40,503,2020-21,108813,1
Ciaran Clark,45,324,2020-21,58845,1
Connor Wickham,45,136,2020-21,59125,1
Conor Coady,50,459,2020-21,94147,1
Conor Townsend,45,418,2020-21,108053,1
Curtis Jones,45,263,2020-21,206915,1
Cyrus Christie,45,179,2020-21,87107,1
Cédric Soares,50,5,2020-21,58822,1
César Azpilicueta,60,102,2020-21,41328,1
Dale Stephens,45,55,2020-21,40845,1
Dan Burn,45,61,2020-21,78916,1
Daniel Amartey,40,227,2020-21,155569,1
Daniel Castelo Podence,55,469,2020-21,200600,1
Daniel Ceballos Fernández,50,501,2020-21,182539,1
Danny Ings,85,366,2020-21,84939,1
Danny Rose,50,384,2020-21,38290,1
Danny Ward,45,223,2020-21,95463,1
Dara O'Shea,45,425,2020-21,216616,1
Darnell Furlong,45,422,2020-21,176420,1
Darren Randolph,45,430,2020-21,32259,1
David Button,40,56,2020-21,50093,1
David Luiz Moreira Marinho,55,3,2020-21,41270,1
David Martin,40,429,2020-21,19194,1
David McGoldrick,55,344,2020-21,27436,1
Davinson Sánchez,55,398,2020-21,173904,1
Davy Pröpper,50,59,2020-21,66242,1
DeAndre Yedlin,45,335,2020-21,151119,1
Declan Rice,50,448,2020-21,204480,1
Demarai Gray,55,230,2020-21,172632,1
Denis Odoi,45,525,2020-21,72681,1
Dennis Praet,55,225,2020-21,106837,1
Diogo Jota,65,468,2020-21,194634,1
Divock Origi,55,256,2020-21,152760,1
Dominic Calvert-Lewin,70,164,2020-21,177815,1
Dwight Gayle,60,329,2020-21,104547,1
Eberechi Eze,60,489,2020-21,232413,1
Edward Nketiah,60,22,2020-21,205533,1
Emerson Palmieri dos Santos,50,111,2020-21,109533,1
Emil Krafth,45,333,2020-21,111773,1
Emile Smith Rowe,45,23,2020-21,209289,1
Emiliano Martínez,45,12,2020-21,98980,1
Enda Stevens,55,347,2020-21,63426,1
Eric Dier,50,391,2020-21,93264,1
Erik Lamela,60,387,2020-21,62974,1
Ethan Ampadu,45,509,2020-21,199598,1
Ezgjan Alioski,45,201,2020-21,105377,1
Fabian Delph,50,149,2020-21,41823,1
Fabian Schär,50,334,2020-21,119471,1
Fabio Henrique Tavares,55,253,2020-21,116643,1
Fabio Silva,55,504,2020-21,449988,1
Fabián Balbuena,45,443,2020-21,166640,1
Fabricio Agosto Ramírez,40,171,2020-21,40559,1
Federico Fernández,50,323,2020-21,57145,1
Felipe Anderson Pereira Gomes,65,440,2020-21,101537,1
Fernando Marçal,50,505,2020-21,111291,1
Fikayo Tomori,50,121,2020-21,194794,1
Filip Benkovic,45,237,2020-21,213405,1
Florian Lejeune,45,327,2020-21,77359,1
Florin Andone,50,64,2020-21,93284,1
Francisco Casilla Cortés,45,194,2020-21,39790,1
Fraser Forster,40,523,2020-21,40383,1
Gabriel Magalhães,50,494,2020-21,226597,1
Gabriel Teodoro Martinelli Silva,50,26,2020-21,444145,1
Gary Cahill,45,125,2020-21,19419,1
Gedson Carvalho Fernandes,50,401,2020-21,195774,1
George Baldock,55,351,2020-21,82691,1
Georginio Wijnaldum,55,243,2020-21,41733,1
Giovani Lo Celso,70,403,2020-21,200826,1
Glenn Murray,50,53,2020-21,20529,1
Grady Diangana,55,446,2020-21,179830,1
Granit Xhaka,55,9,2020-21,84450,1
Gylfi Sigurdsson,70,150,2020-21,55422,1
Hakim Ziyech,80,114,2020-21,124183,1
Hal Robson-Kanu,55,408,2020-21,49440,1
Hamza Choudhury,50,234,2020-21,197469,1
Harrison Reed,45,373,2020-21,153366,1
Harry Kane,105,388,2020-21,78830,1
Harry Wilson,55,257,2020-21,153682,1
Harry Winks,55,397,2020-21,157668,1
Harvey Barnes,70,235,2020-21,201666,1
Harvey Elliott,45,265,2020-21,444884,1
Heung-Min Son,90,390,2020-21,85971,1
Hugo Lloris,55,383,2020-21,37915,1
Héctor Bellerín,50,11,2020-21,98745,1
Hélder Wander Sousa de Azevedo e Costa,55,205,2020-21,165808,1
Ian Carlo Poveda-Ocampo,45,209,2020-21,215460,1
Illan Meslier,45,213,2020-21,437495,1
Isaac Hayden,50,336,2020-21,153127,1
Issa Diop,45,451,2020-21,219924,1
Ivan Ricardo Neves Abreu Cavaleiro,55,187,2020-21,166324,1
Jack Harrison,55,203,2020-21,221399,1
Jack O'Connell,50,354,2020-21,146610,1
Jack Robinson,45,352,2020-21,83427,1
Jack Stephens,50,367,2020-21,88900,1
Jack Wilshere,50,434,2020-21,54102,1
Jacob Murphy,50,497,2020-21,114243,1
Jairo Riedewald,45,144,2020-21,173954,1
Jake Livermore,50,409,2020-21,49944,1
Jake Vokins,40,380,2020-21,214470,1
Jamaal Lascelles,45,328,2020-21,101148,1
Jamal Lewis,45,513,2020-21,194799,1
James Justin,45,239,2020-21,220627,1
James Maddison,70,231,2020-21,172780,1
James McArthur,55,130,2020-21,50471,1
James McCarthy,45,131,2020-21,50472,1
James Milner,55,241,2020-21,15157,1
James Rodríguez,75,508,2020-21,60025,1
James Tomkins,45,129,2020-21,49413,1
James Ward-Prowse,60,370,2020-21,101178,1
Jamie Shackleton,50,210,2020-21,221610,1
Jamie Vardy,100,224,2020-21,101668,1
Jan Bednarek,45,376,2020-21,171771,1
Jannik Vestergaard,45,369,2020-21,93100,1
Japhet Tanganga,50,402,2020-21,199584,1
Jarrad Branthwaite,40,170,2020-21,480455,1
Jarrod Bowen,65,445,2020-21,178186,1
Jason Steele,40,528,2020-21,49262,1
Javier Manquillo,45,332,2020-21,109528,1
Jay-Roy Grot,50,207,2020-21,204642,1
Jayden Bogle,45,510,2020-21,226182,1
Jean Michaël Seri,50,189,2020-21,170271,1
