name,code,element,position,season,team,gw
Zak Swanson,232245,711,DEF,2021-22,Arsenal,26
Zeki Amdouni,492831,594,FWD,2023-24,Burnley,1
Zeze Steven Sessegnon,208998,192,DEF,2020-21,Fulham,1
Álvaro Fernández,240796,556,GK,2021-22,Brentford,2
Álvaro Fernández,515501,728,DEF,2021-22,Man Utd,34
Álvaro Fernández,515501,380,DEF,2023-24,Man Utd,1
Ângelo Gabriel Borges Damaceno,518620,589,MID,2023-24,Chelsea,1
Çaglar Söyüncü,218031,238,DEF,2020-21,Leicester,1
Çaglar Söyüncü,218031,217,DEF,2021-22,Leicester,1
Ørjan Nyland,98770,35,GK,2020-21,Aston Villa,2
